subj,session,trial,rt,object_response,category,condition,imagename
cornet_s,1,34,NaN,boat,boat,1-10-10,0034_eid_dnn_1-10-10_boat_10_n04612504_214.png
cornet_s,1,35,NaN,elephant,chair,128-10-10,0035_eid_dnn_128-10-10_chair_10_n02791124_2555.png
cornet_s,1,36,NaN,car,car,4-10-10,0036_eid_dnn_4-10-10_car_10_n04285008_2081.png
cornet_s,1,37,NaN,knife,dog,32-10-10,0037_eid_dnn_32-10-10_dog_10_n02094114_8202.png
cornet_s,1,38,NaN,bear,chair,64-10-10,0038_eid_dnn_64-10-10_chair_10_n04099969_4541.png
cornet_s,1,39,NaN,bear,boat,128-10-10,0039_eid_dnn_128-10-10_boat_10_n04612504_12864.png
cornet_s,1,40,NaN,airplane,airplane,4-10-10,0040_eid_dnn_4-10-10_airplane_10_n02690373_18460.png
cornet_s,1,41,NaN,dog,bottle,64-10-10,0041_eid_dnn_64-10-10_bottle_10_n03983396_8982.png
cornet_s,1,42,NaN,airplane,dog,16-10-10,0042_eid_dnn_16-10-10_dog_10_n02099601_10407.png
cornet_s,1,43,NaN,bicycle,airplane,32-10-10,0043_eid_dnn_32-10-10_airplane_10_n02690373_5253.png
cornet_s,1,44,NaN,elephant,elephant,2-10-10,0044_eid_dnn_2-10-10_elephant_10_n02504013_2832.png
cornet_s,1,45,NaN,clock,clock,1-10-10,0045_eid_dnn_1-10-10_clock_10_n02708093_8002.png
cornet_s,1,46,NaN,chair,chair,2-10-10,0046_eid_dnn_2-10-10_chair_10_n03376595_1766.png
cornet_s,1,47,NaN,truck,truck,2-10-10,0047_eid_dnn_2-10-10_truck_10_n03417042_17616.png
cornet_s,1,48,NaN,airplane,bear,16-10-10,0048_eid_dnn_16-10-10_bear_10_n02134418_2804.png
cornet_s,1,49,NaN,oven,car,64-10-10,0049_eid_dnn_64-10-10_car_10_n04285008_12101.png
cornet_s,1,50,NaN,elephant,bear,16-10-10,0050_eid_dnn_16-10-10_bear_10_n02134418_3828.png
cornet_s,1,51,NaN,bird,bird,2-10-10,0051_eid_dnn_2-10-10_bird_10_n01530575_5747.png
cornet_s,1,52,NaN,elephant,truck,128-10-10,0052_eid_dnn_128-10-10_truck_10_n03796401_3386.png
cornet_s,1,53,NaN,keyboard,keyboard,16-10-10,0053_eid_dnn_16-10-10_keyboard_10_n04505470_3234.png
cornet_s,1,54,NaN,truck,truck,1-10-10,0054_eid_dnn_1-10-10_truck_10_n04467665_72639.png
cornet_s,1,55,NaN,oven,chair,32-10-10,0055_eid_dnn_32-10-10_chair_10_n04429376_27524.png
cornet_s,1,56,NaN,knife,bottle,64-10-10,0056_eid_dnn_64-10-10_bottle_10_n04557648_11440.png
cornet_s,1,57,NaN,oven,keyboard,32-10-10,0057_eid_dnn_32-10-10_keyboard_10_n03085013_20216.png
cornet_s,1,58,NaN,dog,boat,8-10-10,0058_eid_dnn_8-10-10_boat_10_n02951358_34653.png
cornet_s,1,59,NaN,keyboard,keyboard,2-10-10,0059_eid_dnn_2-10-10_keyboard_10_n03085013_8932.png
cornet_s,1,60,NaN,cat,cat,1-10-10,0060_eid_dnn_1-10-10_cat_10_n02125311_35338.png
cornet_s,1,61,NaN,elephant,bicycle,16-10-10,0061_eid_dnn_16-10-10_bicycle_10_n03792782_5449.png
cornet_s,1,62,NaN,bicycle,bicycle,4-10-10,0062_eid_dnn_4-10-10_bicycle_10_n03792782_9432.png
cornet_s,1,63,NaN,chair,bottle,1-10-10,0063_eid_dnn_1-10-10_bottle_10_n04591713_4291.png
cornet_s,1,64,NaN,truck,truck,4-10-10,0064_eid_dnn_4-10-10_truck_10_n04467665_67057.png
cornet_s,1,65,NaN,keyboard,keyboard,1-10-10,0065_eid_dnn_1-10-10_keyboard_10_n03085013_22790.png
cornet_s,1,66,NaN,cat,dog,4-10-10,0066_eid_dnn_4-10-10_dog_10_n02086079_2896.png
cornet_s,1,67,NaN,airplane,knife,8-10-10,0067_eid_dnn_8-10-10_knife_10_n03041632_40508.png
cornet_s,1,68,NaN,boat,boat,1-10-10,0068_eid_dnn_1-10-10_boat_10_n03344393_7942.png
cornet_s,1,69,NaN,bear,bear,2-10-10,0069_eid_dnn_2-10-10_bear_10_n02134418_4352.png
cornet_s,1,70,NaN,oven,cat,16-10-10,0070_eid_dnn_16-10-10_cat_10_n02123045_5157.png
cornet_s,1,71,NaN,dog,dog,16-10-10,0071_eid_dnn_16-10-10_dog_10_n02109047_14287.png
cornet_s,1,72,NaN,truck,truck,2-10-10,0072_eid_dnn_2-10-10_truck_10_n03417042_14274.png
cornet_s,1,73,NaN,bicycle,airplane,2-10-10,0073_eid_dnn_2-10-10_airplane_10_n02690373_5885.png
cornet_s,1,74,NaN,airplane,cat,32-10-10,0074_eid_dnn_32-10-10_cat_10_n02123394_571.png
cornet_s,1,75,NaN,oven,cat,32-10-10,0075_eid_dnn_32-10-10_cat_10_n02123045_10171.png
cornet_s,1,76,NaN,dog,bottle,8-10-10,0076_eid_dnn_8-10-10_bottle_10_n04560804_4909.png
cornet_s,1,77,NaN,bottle,keyboard,8-10-10,0077_eid_dnn_8-10-10_keyboard_10_n03085013_7971.png
cornet_s,1,78,NaN,knife,keyboard,16-10-10,0078_eid_dnn_16-10-10_keyboard_10_n03085013_21397.png
cornet_s,1,79,NaN,dog,elephant,32-10-10,0079_eid_dnn_32-10-10_elephant_10_n02504458_4187.png
cornet_s,1,80,NaN,cat,clock,8-10-10,0080_eid_dnn_8-10-10_clock_10_n03196217_6689.png
cornet_s,1,81,NaN,cat,knife,4-10-10,0081_eid_dnn_4-10-10_knife_10_n03041632_26236.png
cornet_s,1,82,NaN,bicycle,car,8-10-10,0082_eid_dnn_8-10-10_car_10_n03100240_1262.png
cornet_s,1,83,NaN,boat,keyboard,64-10-10,0083_eid_dnn_64-10-10_keyboard_10_n04505470_5059.png
cornet_s,1,84,NaN,bird,bird,1-10-10,0084_eid_dnn_1-10-10_bird_10_n01537544_26417.png
cornet_s,1,85,NaN,airplane,bird,32-10-10,0085_eid_dnn_32-10-10_bird_10_n02009912_5714.png
cornet_s,1,86,NaN,elephant,chair,128-10-10,0086_eid_dnn_128-10-10_chair_10_n03376595_5972.png
cornet_s,1,87,NaN,chair,chair,2-10-10,0087_eid_dnn_2-10-10_chair_10_n04429376_805.png
cornet_s,1,88,NaN,airplane,bicycle,128-10-10,0088_eid_dnn_128-10-10_bicycle_10_n03792782_4083.png
cornet_s,1,89,NaN,clock,clock,1-10-10,0089_eid_dnn_1-10-10_clock_10_n02708093_798.png
cornet_s,1,90,NaN,bear,bear,1-10-10,0090_eid_dnn_1-10-10_bear_10_n02133161_1660.png
cornet_s,1,91,NaN,knife,car,8-10-10,0091_eid_dnn_8-10-10_car_10_n04285008_9464.png
cornet_s,1,92,NaN,oven,oven,16-10-10,0092_eid_dnn_16-10-10_oven_10_n04111531_3314.png
cornet_s,1,93,NaN,knife,cat,128-10-10,0093_eid_dnn_128-10-10_cat_10_n02123394_5753.png
cornet_s,1,94,NaN,boat,boat,2-10-10,0094_eid_dnn_2-10-10_boat_10_n02951358_34042.png
cornet_s,1,95,NaN,bear,truck,64-10-10,0095_eid_dnn_64-10-10_truck_10_n03417042_7588.png
cornet_s,1,96,NaN,oven,truck,32-10-10,0096_eid_dnn_32-10-10_truck_10_n03417042_4200.png
cornet_s,1,97,NaN,airplane,airplane,4-10-10,0097_eid_dnn_4-10-10_airplane_10_n02690373_4335.png
cornet_s,1,98,NaN,dog,elephant,128-10-10,0098_eid_dnn_128-10-10_elephant_10_n02504458_6823.png
cornet_s,1,99,NaN,boat,boat,4-10-10,0099_eid_dnn_4-10-10_boat_10_n03344393_4214.png
cornet_s,1,100,NaN,keyboard,keyboard,4-10-10,0100_eid_dnn_4-10-10_keyboard_10_n03085013_22949.png
cornet_s,1,101,NaN,truck,bear,64-10-10,0101_eid_dnn_64-10-10_bear_10_n02132136_31664.png
cornet_s,1,102,NaN,keyboard,bottle,8-10-10,0102_eid_dnn_8-10-10_bottle_10_n03983396_1985.png
cornet_s,1,103,NaN,airplane,airplane,2-10-10,0103_eid_dnn_2-10-10_airplane_10_n02690373_9266.png
cornet_s,1,104,NaN,bear,bottle,128-10-10,0104_eid_dnn_128-10-10_bottle_10_n02823428_5961.png
cornet_s,1,105,NaN,bottle,bottle,4-10-10,0105_eid_dnn_4-10-10_bottle_10_n04579145_1856.png
cornet_s,1,106,NaN,oven,clock,64-10-10,0106_eid_dnn_64-10-10_clock_10_n02708093_7810.png
cornet_s,1,107,NaN,dog,dog,1-10-10,0107_eid_dnn_1-10-10_dog_10_n02100735_4949.png
cornet_s,1,108,NaN,truck,chair,32-10-10,0108_eid_dnn_32-10-10_chair_10_n03376595_7275.png
cornet_s,1,109,NaN,bottle,bottle,2-10-10,0109_eid_dnn_2-10-10_bottle_10_n03983396_16741.png
cornet_s,1,110,NaN,oven,boat,32-10-10,0110_eid_dnn_32-10-10_boat_10_n04612504_8719.png
cornet_s,1,111,NaN,chair,chair,1-10-10,0111_eid_dnn_1-10-10_chair_10_n02791124_3570.png
cornet_s,1,112,NaN,oven,bear,32-10-10,0112_eid_dnn_32-10-10_bear_10_n02132136_9557.png
cornet_s,1,113,NaN,knife,bird,64-10-10,0113_eid_dnn_64-10-10_bird_10_n02002556_5730.png
cornet_s,1,114,NaN,oven,oven,4-10-10,0114_eid_dnn_4-10-10_oven_10_n04111531_8959.png
cornet_s,1,115,NaN,cat,cat,128-10-10,0115_eid_dnn_128-10-10_cat_10_n02123159_8101.png
cornet_s,1,116,NaN,cat,cat,8-10-10,0116_eid_dnn_8-10-10_cat_10_n02123597_8890.png
cornet_s,1,117,NaN,elephant,elephant,1-10-10,0117_eid_dnn_1-10-10_elephant_10_n02504458_220.png
cornet_s,1,118,NaN,elephant,bicycle,128-10-10,0118_eid_dnn_128-10-10_bicycle_10_n02835271_2651.png
cornet_s,1,119,NaN,bear,keyboard,64-10-10,0119_eid_dnn_64-10-10_keyboard_10_n04505470_1581.png
cornet_s,1,120,NaN,truck,truck,4-10-10,0120_eid_dnn_4-10-10_truck_10_n04467665_1719.png
cornet_s,1,121,NaN,truck,truck,2-10-10,0121_eid_dnn_2-10-10_truck_10_n04467665_30756.png
cornet_s,1,122,NaN,elephant,oven,64-10-10,0122_eid_dnn_64-10-10_oven_10_n04111531_1818.png
cornet_s,1,123,NaN,elephant,elephant,64-10-10,0123_eid_dnn_64-10-10_elephant_10_n02504013_2974.png
cornet_s,1,124,NaN,chair,bicycle,128-10-10,0124_eid_dnn_128-10-10_bicycle_10_n03792782_7713.png
cornet_s,1,125,NaN,clock,clock,16-10-10,0125_eid_dnn_16-10-10_clock_10_n04548280_9700.png
cornet_s,1,126,NaN,bear,bottle,16-10-10,0126_eid_dnn_16-10-10_bottle_10_n04591713_1174.png
cornet_s,1,127,NaN,elephant,bear,64-10-10,0127_eid_dnn_64-10-10_bear_10_n02134418_1395.png
cornet_s,1,128,NaN,cat,bottle,128-10-10,0128_eid_dnn_128-10-10_bottle_10_n04591713_36.png
cornet_s,1,129,NaN,bear,knife,8-10-10,0129_eid_dnn_8-10-10_knife_10_n03041632_21034.png
cornet_s,1,130,NaN,bicycle,bicycle,1-10-10,0130_eid_dnn_1-10-10_bicycle_10_n03792782_11115.png
cornet_s,1,131,NaN,oven,truck,16-10-10,0131_eid_dnn_16-10-10_truck_10_n03417042_5381.png
cornet_s,1,132,NaN,dog,boat,64-10-10,0132_eid_dnn_64-10-10_boat_10_n04612504_15258.png
cornet_s,1,133,NaN,boat,boat,2-10-10,0133_eid_dnn_2-10-10_boat_10_n03662601_11972.png
cornet_s,1,134,NaN,elephant,dog,64-10-10,0134_eid_dnn_64-10-10_dog_10_n02092002_11459.png
cornet_s,1,135,NaN,clock,clock,64-10-10,0135_eid_dnn_64-10-10_clock_10_n04548280_6605.png
cornet_s,1,136,NaN,boat,boat,64-10-10,0136_eid_dnn_64-10-10_boat_10_n03662601_5600.png
cornet_s,1,137,NaN,airplane,bear,32-10-10,0137_eid_dnn_32-10-10_bear_10_n02134084_8153.png
cornet_s,1,138,NaN,bear,cat,64-10-10,0138_eid_dnn_64-10-10_cat_10_n02124075_9225.png
cornet_s,1,139,NaN,oven,bicycle,8-10-10,0139_eid_dnn_8-10-10_bicycle_10_n03792782_3591.png
cornet_s,1,140,NaN,elephant,dog,64-10-10,0140_eid_dnn_64-10-10_dog_10_n02107142_31661.png
cornet_s,1,141,NaN,elephant,elephant,8-10-10,0141_eid_dnn_8-10-10_elephant_10_n02504458_651.png
cornet_s,1,142,NaN,elephant,dog,128-10-10,0142_eid_dnn_128-10-10_dog_10_n02110958_15217.png
cornet_s,1,143,NaN,oven,oven,4-10-10,0143_eid_dnn_4-10-10_oven_10_n04111531_523.png
cornet_s,1,144,NaN,car,car,4-10-10,0144_eid_dnn_4-10-10_car_10_n02814533_42884.png
cornet_s,1,145,NaN,elephant,car,64-10-10,0145_eid_dnn_64-10-10_car_10_n04285008_8017.png
cornet_s,1,146,NaN,car,car,1-10-10,0146_eid_dnn_1-10-10_car_10_n03100240_16766.png
cornet_s,1,147,NaN,dog,elephant,8-10-10,0147_eid_dnn_8-10-10_elephant_10_n02504458_4593.png
cornet_s,1,148,NaN,elephant,chair,64-10-10,0148_eid_dnn_64-10-10_chair_10_n02791124_1358.png
cornet_s,1,149,NaN,dog,dog,16-10-10,0149_eid_dnn_16-10-10_dog_10_n02095314_5363.png
cornet_s,1,150,NaN,clock,clock,8-10-10,0150_eid_dnn_8-10-10_clock_10_n04548280_1413.png
cornet_s,1,151,NaN,dog,dog,1-10-10,0151_eid_dnn_1-10-10_dog_10_n02105641_10948.png
cornet_s,1,152,NaN,dog,dog,1-10-10,0152_eid_dnn_1-10-10_dog_10_n02113624_1691.png
cornet_s,1,153,NaN,truck,car,4-10-10,0153_eid_dnn_4-10-10_car_10_n03100240_2235.png
cornet_s,1,154,NaN,chair,chair,2-10-10,0154_eid_dnn_2-10-10_chair_10_n04099969_56470.png
cornet_s,1,155,NaN,oven,oven,2-10-10,0155_eid_dnn_2-10-10_oven_10_n04111531_5429.png
cornet_s,1,156,NaN,knife,keyboard,64-10-10,0156_eid_dnn_64-10-10_keyboard_10_n03085013_19317.png
cornet_s,1,157,NaN,elephant,bird,64-10-10,0157_eid_dnn_64-10-10_bird_10_n01601694_19650.png
cornet_s,1,158,NaN,elephant,clock,128-10-10,0158_eid_dnn_128-10-10_clock_10_n03196217_11199.png
cornet_s,1,159,NaN,dog,bottle,32-10-10,0159_eid_dnn_32-10-10_bottle_10_n03937543_2209.png
cornet_s,1,160,NaN,oven,car,64-10-10,0160_eid_dnn_64-10-10_car_10_n03100240_16939.png
cornet_s,1,161,NaN,oven,bottle,8-10-10,0161_eid_dnn_8-10-10_bottle_10_n04591713_2501.png
cornet_s,1,162,NaN,airplane,airplane,16-10-10,0162_eid_dnn_16-10-10_airplane_10_n02690373_10395.png
cornet_s,1,163,NaN,bear,oven,8-10-10,0163_eid_dnn_8-10-10_oven_10_n04111531_3286.png
cornet_s,1,164,NaN,oven,boat,64-10-10,0164_eid_dnn_64-10-10_boat_10_n04273569_13401.png
cornet_s,1,165,NaN,knife,elephant,64-10-10,0165_eid_dnn_64-10-10_elephant_10_n02504458_12776.png
cornet_s,1,166,NaN,bird,bird,2-10-10,0166_eid_dnn_2-10-10_bird_10_n01828970_997.png
cornet_s,1,167,NaN,bear,bear,8-10-10,0167_eid_dnn_8-10-10_bear_10_n02132136_10318.png
cornet_s,1,168,NaN,oven,oven,32-10-10,0168_eid_dnn_32-10-10_oven_10_n04111531_7883.png
cornet_s,1,169,NaN,elephant,clock,128-10-10,0169_eid_dnn_128-10-10_clock_10_n02708093_725.png
cornet_s,1,170,NaN,oven,bottle,16-10-10,0170_eid_dnn_16-10-10_bottle_10_n04557648_2052.png
cornet_s,1,171,NaN,oven,keyboard,32-10-10,0171_eid_dnn_32-10-10_keyboard_10_n04505470_5036.png
cornet_s,1,172,NaN,elephant,elephant,8-10-10,0172_eid_dnn_8-10-10_elephant_10_n02504458_13352.png
cornet_s,1,173,NaN,chair,chair,4-10-10,0173_eid_dnn_4-10-10_chair_10_n04429376_30620.png
cornet_s,1,174,NaN,boat,boat,16-10-10,0174_eid_dnn_16-10-10_boat_10_n03662601_2980.png
cornet_s,1,175,NaN,boat,boat,8-10-10,0175_eid_dnn_8-10-10_boat_10_n03662601_4734.png
cornet_s,1,176,NaN,bear,bear,2-10-10,0176_eid_dnn_2-10-10_bear_10_n02134418_4754.png
cornet_s,1,177,NaN,elephant,elephant,2-10-10,0177_eid_dnn_2-10-10_elephant_10_n02504013_8522.png
cornet_s,1,178,NaN,knife,bottle,64-10-10,0178_eid_dnn_64-10-10_bottle_10_n03937543_4863.png
cornet_s,1,179,NaN,knife,car,16-10-10,0179_eid_dnn_16-10-10_car_10_n04285008_10802.png
cornet_s,1,180,NaN,oven,knife,64-10-10,0180_eid_dnn_64-10-10_knife_10_n03041632_6708.png
cornet_s,1,181,NaN,dog,dog,1-10-10,0181_eid_dnn_1-10-10_dog_10_n02107142_61109.png
cornet_s,1,182,NaN,clock,clock,2-10-10,0182_eid_dnn_2-10-10_clock_10_n03196217_8139.png
cornet_s,1,183,NaN,elephant,elephant,1-10-10,0183_eid_dnn_1-10-10_elephant_10_n02504458_6611.png
cornet_s,1,184,NaN,elephant,truck,64-10-10,0184_eid_dnn_64-10-10_truck_10_n04467665_4401.png
cornet_s,1,185,NaN,boat,boat,4-10-10,0185_eid_dnn_4-10-10_boat_10_n03344393_732.png
cornet_s,1,186,NaN,knife,knife,4-10-10,0186_eid_dnn_4-10-10_knife_10_n03041632_41381.png
cornet_s,1,187,NaN,elephant,oven,32-10-10,0187_eid_dnn_32-10-10_oven_10_n04111531_22715.png
cornet_s,1,188,NaN,cat,cat,16-10-10,0188_eid_dnn_16-10-10_cat_10_n02123045_3568.png
cornet_s,1,189,NaN,truck,truck,2-10-10,0189_eid_dnn_2-10-10_truck_10_n03796401_18976.png
cornet_s,1,190,NaN,oven,oven,8-10-10,0190_eid_dnn_8-10-10_oven_10_n04111531_15710.png
cornet_s,1,191,NaN,bear,elephant,32-10-10,0191_eid_dnn_32-10-10_elephant_10_n02504013_7232.png
cornet_s,1,192,NaN,bear,clock,64-10-10,0192_eid_dnn_64-10-10_clock_10_n02708093_5126.png
cornet_s,1,193,NaN,oven,cat,32-10-10,0193_eid_dnn_32-10-10_cat_10_n02123159_1598.png
cornet_s,1,194,NaN,car,car,1-10-10,0194_eid_dnn_1-10-10_car_10_n04285008_1661.png
cornet_s,1,195,NaN,clock,clock,2-10-10,0195_eid_dnn_2-10-10_clock_10_n02708093_5551.png
cornet_s,1,196,NaN,boat,airplane,128-10-10,0196_eid_dnn_128-10-10_airplane_10_n02690373_693.png
cornet_s,1,197,NaN,elephant,elephant,2-10-10,0197_eid_dnn_2-10-10_elephant_10_n02504013_3409.png
cornet_s,1,198,NaN,dog,dog,64-10-10,0198_eid_dnn_64-10-10_dog_10_n02113712_8182.png
cornet_s,1,199,NaN,bottle,bottle,1-10-10,0199_eid_dnn_1-10-10_bottle_10_n03983396_8322.png
cornet_s,1,200,NaN,oven,keyboard,64-10-10,0200_eid_dnn_64-10-10_keyboard_10_n04505470_1040.png
cornet_s,1,201,NaN,oven,oven,32-10-10,0201_eid_dnn_32-10-10_oven_10_n04111531_11230.png
cornet_s,1,202,NaN,cat,cat,1-10-10,0202_eid_dnn_1-10-10_cat_10_n02123394_6269.png
cornet_s,1,203,NaN,elephant,elephant,2-10-10,0203_eid_dnn_2-10-10_elephant_10_n02504013_2075.png
cornet_s,1,204,NaN,bear,bear,1-10-10,0204_eid_dnn_1-10-10_bear_10_n02133161_3795.png
cornet_s,1,205,NaN,oven,oven,2-10-10,0205_eid_dnn_2-10-10_oven_10_n04111531_4322.png
cornet_s,1,206,NaN,bottle,bottle,4-10-10,0206_eid_dnn_4-10-10_bottle_10_n03937543_5799.png
cornet_s,1,207,NaN,knife,keyboard,8-10-10,0207_eid_dnn_8-10-10_keyboard_10_n04505470_4414.png
cornet_s,1,208,NaN,dog,dog,4-10-10,0208_eid_dnn_4-10-10_dog_10_n02091032_8315.png
cornet_s,1,209,NaN,knife,knife,2-10-10,0209_eid_dnn_2-10-10_knife_10_n03041632_39952.png
cornet_s,1,210,NaN,chair,chair,8-10-10,0210_eid_dnn_8-10-10_chair_10_n02791124_634.png
cornet_s,1,211,NaN,boat,boat,32-10-10,0211_eid_dnn_32-10-10_boat_10_n03344393_3355.png
cornet_s,1,212,NaN,clock,dog,32-10-10,0212_eid_dnn_32-10-10_dog_10_n02102040_7188.png
cornet_s,1,213,NaN,chair,chair,2-10-10,0213_eid_dnn_2-10-10_chair_10_n02791124_8711.png
cornet_s,1,214,NaN,elephant,bear,64-10-10,0214_eid_dnn_64-10-10_bear_10_n02132136_6002.png
cornet_s,1,215,NaN,boat,boat,4-10-10,0215_eid_dnn_4-10-10_boat_10_n02951358_30184.png
cornet_s,1,216,NaN,knife,bottle,128-10-10,0216_eid_dnn_128-10-10_bottle_10_n02823428_3414.png
cornet_s,1,217,NaN,truck,truck,4-10-10,0217_eid_dnn_4-10-10_truck_10_n04467665_13231.png
cornet_s,1,218,NaN,chair,chair,4-10-10,0218_eid_dnn_4-10-10_chair_10_n04099969_8063.png
cornet_s,1,219,NaN,bird,bird,4-10-10,0219_eid_dnn_4-10-10_bird_10_n01534433_10234.png
cornet_s,1,220,NaN,elephant,elephant,4-10-10,0220_eid_dnn_4-10-10_elephant_10_n02504013_12533.png
cornet_s,1,221,NaN,dog,knife,16-10-10,0221_eid_dnn_16-10-10_knife_10_n03041632_18995.png
cornet_s,1,222,NaN,dog,chair,32-10-10,0222_eid_dnn_32-10-10_chair_10_n04429376_7123.png
cornet_s,1,223,NaN,boat,clock,64-10-10,0223_eid_dnn_64-10-10_clock_10_n03196217_9065.png
cornet_s,1,224,NaN,dog,dog,4-10-10,0224_eid_dnn_4-10-10_dog_10_n02086079_4143.png
cornet_s,1,225,NaN,bear,bear,4-10-10,0225_eid_dnn_4-10-10_bear_10_n02132136_20162.png
cornet_s,1,226,NaN,bottle,bottle,1-10-10,0226_eid_dnn_1-10-10_bottle_10_n03983396_4165.png
cornet_s,1,227,NaN,bird,bird,4-10-10,0227_eid_dnn_4-10-10_bird_10_n01824575_4470.png
cornet_s,1,228,NaN,elephant,oven,64-10-10,0228_eid_dnn_64-10-10_oven_10_n04111531_9695.png
cornet_s,1,229,NaN,bottle,bottle,64-10-10,0229_eid_dnn_64-10-10_bottle_10_n02823428_23181.png
cornet_s,1,230,NaN,bicycle,bicycle,2-10-10,0230_eid_dnn_2-10-10_bicycle_10_n02835271_13674.png
cornet_s,1,231,NaN,chair,chair,2-10-10,0231_eid_dnn_2-10-10_chair_10_n04429376_55747.png
cornet_s,1,232,NaN,oven,boat,32-10-10,0232_eid_dnn_32-10-10_boat_10_n02951358_8346.png
cornet_s,1,233,NaN,elephant,elephant,16-10-10,0233_eid_dnn_16-10-10_elephant_10_n02504013_1088.png
cornet_s,1,234,NaN,knife,car,8-10-10,0234_eid_dnn_8-10-10_car_10_n03100240_11191.png
cornet_s,1,235,NaN,chair,chair,8-10-10,0235_eid_dnn_8-10-10_chair_10_n04099969_19966.png
cornet_s,1,236,NaN,elephant,bicycle,32-10-10,0236_eid_dnn_32-10-10_bicycle_10_n03792782_15016.png
cornet_s,1,237,NaN,elephant,boat,128-10-10,0237_eid_dnn_128-10-10_boat_10_n02951358_17867.png
cornet_s,1,238,NaN,cat,cat,2-10-10,0238_eid_dnn_2-10-10_cat_10_n02123045_2364.png
cornet_s,1,239,NaN,bear,bear,2-10-10,0239_eid_dnn_2-10-10_bear_10_n02132136_9433.png
cornet_s,1,240,NaN,knife,clock,32-10-10,0240_eid_dnn_32-10-10_clock_10_n03196217_3167.png
